index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
573,2024-04-15 15:05:45.269503,1.61,1.605,1.6099711008549356,0.0205703025590034,1.5493159706864597,-0.6761887181165702,0.4342857142857143,12.97200608253479
574,2024-04-15 15:05:45.291291,1.605,1.605,1.6052720789010708,0.0104925904695179,1.542658055880264,-0.6734979020379762,0.4357142857142857,12.993793964385986
575,2024-04-15 15:05:45.313317,1.61,1.605,1.6096139041936852,0.0274379670958619,1.5520835004818996,-0.6773071741632388,0.4335714285714285,13.015820026397705
576,2024-04-15 15:05:45.334990,1.605,1.605,1.6052921017185533,0.016549384373008,1.544969619242701,-0.6744321524820903,0.435,13.037492990493774
577,2024-04-15 15:05:45.357088,1.6,1.605,1.6002675003177809,0.0066442532258159,1.5384703448517012,-0.6718055537348898,0.4364285714285714,13.059591054916382
578,2024-04-15 15:05:45.380707,1.6,1.605,1.5998979882362667,0.011897607932364,1.540942986732912,-0.6728048273360313,0.4364285714285714,13.083209991455078
579,2024-04-15 15:05:45.402433,1.6,1.605,1.599907344498971,0.0167760811830999,1.5431835379633438,-0.6737102938458476,0.4364285714285714,13.104935884475708
580,2024-04-15 15:05:45.424828,1.595,1.605,1.5952453915105471,0.0077738199721288,1.537263585647772,-0.6713179145880359,0.4371428571428571,13.127331018447876
581,2024-04-15 15:05:45.446591,1.595,1.605,1.594903689663074,0.0127875880199156,1.5395815613017976,-0.6722546457826195,0.4371428571428571,13.149093866348267
582,2024-04-15 15:05:45.468604,1.595,1.605,1.594913297592871,0.0174155949998458,1.5416633981645596,-0.6730959384174718,0.4371428571428571,13.171107053756714
583,2024-04-15 15:05:45.491876,1.59,1.605,1.5902498390601998,0.0082260039308155,1.535678486910437,-0.6706774034334819,0.4378571428571428,13.194378852844238
584,2024-04-15 15:05:45.513743,1.59,1.605,1.589906892600662,0.0131013993284936,1.5379036695752468,-0.671576599875071,0.4378571428571428,13.216245889663696
585,2024-04-15 15:05:45.536645,1.585,1.605,1.5852232522365746,0.0049900247018946,1.532580581767541,-0.6694255683211752,0.4392857142857143,13.239147901535034
586,2024-04-15 15:05:45.558301,1.585,1.605,1.584885633047637,0.0107261051735064,1.5353011331652835,-0.6705249140971111,0.4385714285714285,13.260803937911987
587,2024-04-15 15:05:45.580747,1.58,1.605,1.5802075734864742,0.0032492677647977,1.5303748534586754,-0.6685342835875263,0.44,13.283249855041504
588,2024-04-15 15:05:45.604480,1.58,1.605,1.5798741616870735,0.0094473763470927,1.5333544199968592,-0.6697382624892632,0.44,13.30698299407959
589,2024-04-15 15:05:45.626273,1.58,1.605,1.5798915059791805,0.0149446841233762,1.5359173764315164,-0.6707738843223958,0.4392857142857143,13.328775882720947
590,2024-04-15 15:05:45.648846,1.58,1.605,1.5799261610346134,0.0190286786964003,1.5376576536486832,-0.6714770741511437,0.4392857142857143,13.351348876953125
591,2024-04-15 15:05:45.670713,1.58,1.605,1.5799532616747536,0.0220064738557329,1.5387566735946023,-0.6719211466501388,0.4392857142857143,13.373215913772583
592,2024-04-15 15:05:45.692870,1.58,1.605,1.5799731505628527,0.0241717864354574,1.539386570368109,-0.6721756607418168,0.4385714285714285,13.395372867584229
593,2024-04-15 15:05:45.716498,1.58,1.605,1.5799876400056394,0.0257445541170184,1.5396758756776692,-0.672292554947686,0.4385714285714285,13.41900086402893
594,2024-04-15 15:05:45.738412,1.575,1.605,1.575305867627788,0.0142514891323716,1.5325329236382037,-0.6694064744987542,0.44,13.440914869308472
595,2024-04-15 15:05:45.760236,1.58,1.605,1.5796400224683087,0.0300702642116224,1.5409203331099248,-0.6727953268612904,0.4385714285714285,13.462738990783691
596,2024-04-15 15:05:45.782023,1.575,1.605,1.5753109820415376,0.0183732092309278,1.5336910018175467,-0.6698744246228966,0.44,13.484525918960571
597,2024-04-15 15:05:45.803873,1.575,1.605,1.574973278806988,0.0205129936030544,1.5343107726755056,-0.6701248302726669,0.44,13.506376028060913
598,2024-04-15 15:05:45.825687,1.57,1.605,1.570273297672968,0.0103380092219502,1.5279862777724167,-0.6675695832977404,0.4414285714285714,13.528189897537231
599,2024-04-15 15:05:45.847596,1.57,1.605,1.5699220457882446,0.0145584054350375,1.529786168785219,-0.6682967722878759,0.4407142857142857,13.550098896026611
600,2024-04-15 15:05:45.871029,1.57,1.605,1.5699262332333015,0.0186138868382302,1.5314855318662493,-0.6689833367225629,0.4407142857142857,13.573531866073608
601,2024-04-15 15:05:45.892478,1.57,1.605,1.569951288651326,0.0216474519560725,1.532605166896927,-0.6694356773802096,0.4407142857142857,13.594980955123901
602,2024-04-15 15:05:45.914239,1.565,1.605,1.5652790905882252,0.011229819190591,1.5262046583004878,-0.6668498612375179,0.4421428571428571,13.61674189567566
