datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-17 16:39:17.389837,nan,-0.6029324730935305,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.416830,nan,0.06972466116387638,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.443365,nan,0.06972466116387638,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.474121,nan,0.06972466116387638,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.498455,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.525623,nan,-0.32605103487526155,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.552897,nan,-0.32605103487526155,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.577150,nan,-0.32605103487526155,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.601366,nan,-0.32605103487526155,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.629826,nan,-0.47100898741227015,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.659123,nan,-0.47100898741227015,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.685852,nan,-0.7348540210348962,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.711929,nan,-0.7348540210348962,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.739937,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.769664,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.795193,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.820402,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.848788,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.876874,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
